City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Plettenberg Bay,ZA,-34.0527,23.3716,63.09,83,100,7.83,overcast clouds
181,Port Elizabeth,ZA,-33.918,25.5701,64.4,82,0,9.22,clear sky
182,Ambilobe,MG,-13.2,49.05,73.13,93,73,2.46,broken clouds
183,Flagstaff,US,35.1981,-111.6513,51.8,11,1,5.75,clear sky
184,Asau,RO,46.4333,26.4,30.0,73,78,0.38,broken clouds
185,Lata,PT,40.1629,-8.3327,55.0,93,96,1.99,overcast clouds
186,Port Lincoln,AU,-34.7333,135.8667,64.22,71,58,16.33,broken clouds
187,Hambantota,LK,6.1241,81.1185,73.4,100,0,2.3,clear sky
188,Aligudarz,IR,33.4006,49.6949,30.61,95,13,3.02,few clouds
189,Balkanabat,TM,39.5108,54.3671,46.54,68,1,7.99,clear sky
190,Kutum,SD,14.2,24.6667,50.56,42,1,7.99,clear sky
191,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,9.22,clear sky
192,Kudahuvadhoo,MV,2.6708,72.8944,81.27,72,4,15.52,clear sky
193,Bengkulu,ID,-3.8004,102.2655,78.66,73,99,3.65,overcast clouds
194,Kapaa,US,22.0752,-159.319,75.2,50,1,8.05,clear sky
195,Lola,GN,7.8,-8.5333,71.69,93,20,5.75,light rain
196,Olafsvik,IS,64.8945,-23.7142,35.01,81,90,14.85,overcast clouds
197,Georgetown,MY,5.4112,100.3354,78.8,88,20,6.11,few clouds
198,Taoudenni,ML,22.6783,-3.9836,58.71,34,0,7.4,clear sky
199,Ogaminana,NG,7.5946,6.2248,75.07,45,88,5.03,overcast clouds
200,Half Moon Bay,US,37.4636,-122.4286,64.4,62,1,13.8,clear sky
201,Buraydah,SA,26.326,43.975,51.8,100,40,5.75,scattered clouds
202,Los Algarrobos,PA,8.5,-82.4333,87.8,62,20,5.75,few clouds
203,Guerrero Negro,MX,27.9769,-114.0611,66.54,42,0,13.13,clear sky
204,Gimli,CA,50.6336,-96.9907,-20.2,57,0,2.3,clear sky
205,Cabra,ES,37.4725,-4.4421,48.99,82,100,1.01,overcast clouds
206,Camocim,BR,-2.9022,-40.8411,78.39,87,25,8.88,scattered clouds
207,Roald,NO,62.5833,6.1333,24.8,46,0,13.8,clear sky
208,Panjab,AF,34.388,67.0233,25.29,86,98,1.43,overcast clouds
209,Okhotsk,RU,59.3833,143.3,15.82,89,100,22.32,overcast clouds
210,Gandevi,IN,20.8167,72.9833,64.4,52,0,3.44,haze
211,Rawson,AR,-43.3002,-65.1023,58.23,63,0,15.14,clear sky
212,Masuguru,TZ,-11.3667,38.4167,74.39,96,100,4.56,light rain
213,Ostrovnoy,RU,68.0531,39.5131,20.8,92,100,16.67,light snow
214,Port Blair,IN,11.6667,92.75,77.52,79,1,12.57,clear sky
215,Saint-Francois,FR,46.4154,3.9054,37.99,87,90,3.44,overcast clouds
216,Huazhou,CN,21.6333,110.5833,66.45,69,100,3.91,overcast clouds
217,Fortuna,US,40.5982,-124.1573,52.0,87,1,11.5,clear sky
218,Cherskiy,RU,68.75,161.3,5.65,74,0,5.61,clear sky
219,Coahuayana,MX,18.7333,-103.6833,73.4,78,20,3.2,few clouds
220,Jackson,US,42.4165,-122.8345,43.0,83,22,1.99,few clouds
221,Meulaboh,ID,4.1363,96.1285,77.85,82,100,3.85,overcast clouds
222,Kirakira,SB,-10.4544,161.9205,85.6,70,4,9.17,clear sky
223,Prince Rupert,CA,54.3161,-130.3201,33.8,51,1,17.27,clear sky
224,Hot Springs,US,34.5037,-93.0552,37.4,87,90,10.36,mist
225,Takoradi,GH,4.8845,-1.7554,80.13,87,14,10.85,few clouds
226,Nouadhibou,MR,20.931,-17.0347,62.6,77,0,19.57,clear sky
227,Erzin,TR,36.9559,36.2,55.4,76,40,10.36,scattered clouds
228,Fairbanks,US,64.8378,-147.7164,-9.4,70,20,6.91,few clouds
229,Bandarbeyla,SO,9.4942,50.8122,75.11,79,69,18.3,broken clouds
230,Jalu,LY,29.0331,21.5482,68.0,25,100,19.08,overcast clouds
231,Waingapu,ID,-9.6567,120.2641,83.43,73,100,10.11,overcast clouds
232,Bombay,IN,19.0144,72.8479,75.2,35,96,5.75,smoke
233,Tsaghkahovit,AM,40.6343,44.2224,14.0,85,99,5.57,overcast clouds
234,Fougamou,GA,-1.2154,10.5838,73.08,93,100,0.87,overcast clouds
235,Victoria,HK,22.2855,114.1577,68.0,83,14,13.0,few clouds
236,Longyearbyen,SJ,78.2186,15.6401,14.0,48,0,19.57,clear sky
237,San-Pedro,CI,4.7485,-6.6363,78.04,91,0,5.46,clear sky
238,Karratha,AU,-20.7377,116.8463,81.61,59,0,8.99,clear sky
239,Gravdal,NO,68.1214,13.5031,32.29,91,48,7.65,scattered clouds
240,Hobyo,SO,5.3505,48.5268,77.14,81,3,17.47,clear sky
241,Banepa,NP,27.6298,85.5214,39.2,93,20,3.44,mist
242,La Ronge,CA,55.1001,-105.2842,-29.2,56,0,4.61,clear sky
243,Reforma,MX,18.1,-91.0167,72.07,83,0,6.91,clear sky
